Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including S,10,71
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,1,1
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1,13
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including S,16,40
Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST (PwD),Gender-Neutral,1,1
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,1562,2408
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including S,3878,4408
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,144,144
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,398,525
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,EWS,Female-only (including S,920,920
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,618,1255
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including S,1491,2705
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,280,722
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,SC,Female-only (including S,373,373
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,130,222
Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,ST,Female-only (including S,714,714
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,15,496
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including S,642,1339
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,14,30
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including S,77,77
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,57,116
Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including S,208,455
